,Unnamed: 0,ZIP,LAT,LNG,state_abbr,county,city
15333,15333,46979,40.429421,-86.275733,IN,Howard,Russiaville
15334,15334,46982,41.063312,-85.882928,IN,Kosciusko,Silver lake
15335,15335,46984,40.667769,-85.830127,,,
15336,15336,46985,40.950787,-86.573883,IN,Pulaski,Star city
15337,15337,46986,40.497945,-85.819279,IN,Grant,Swayzee
15338,15338,46987,40.568813,-85.765358,IN,Grant,Sweetser
15339,15339,46988,40.877117,-86.234743,IN,Cass,Twelve mile
15340,15340,46989,40.448635,-85.481366,IN,Grant,Upland
15341,15341,46990,40.897336,-85.731383,IN,Wabash,Urbana
15342,15342,46991,40.628038,-85.51421,IN,Grant,Landess
15343,15343,46992,40.787305,-85.826434,IN,Wabash,Wabash
15344,15344,46994,40.667327,-86.25455,IN,Cass,Walton
15345,15345,46996,41.062011,-86.657974,IN,Pulaski,Winamac
15346,15346,46998,40.567605,-86.349666,IN,Cass,Young america
15347,15347,47001,39.072665,-84.965538,IN,Dearborn,Aurora
15348,15348,47003,39.559685,-84.834261,IN,Union,Zcta 47003
15349,15349,47006,39.291996,-85.215884,IN,Ripley,Batesville
15350,15350,47010,39.501581,-84.848717,IN,Franklin,Bath
15351,15351,47011,38.88162,-85.076128,IN,Switzerland,Bennington
15352,15352,47012,39.427315,-84.983461,IN,Franklin,Brookville
15353,15353,47016,39.372219,-84.890262,IN,Franklin,Cedar grove
15354,15354,47017,38.935533,-85.185945,IN,Ripley,Cross plains
15355,15355,47018,38.996765,-85.086623,IN,Dearborn,Dillsboro
15356,15356,47020,38.819261,-84.923974,IN,Switzerland,Florence
15357,15357,47022,39.2049,-84.951741,IN,Dearborn,Guilford
15358,15358,47023,39.080546,-85.381852,IN,Ripley,Holton
15359,15359,47024,39.476872,-85.199038,IN,Franklin,Laurel
15360,15360,47025,39.165524,-84.866317,IN,Dearborn,Lawrenceburg
15361,15361,47030,39.424202,-85.132571,IN,Franklin,Metamora
15362,15362,47031,39.124244,-85.156451,IN,Ripley,Milan
15363,15363,47032,39.086912,-85.043662,IN,Dearborn,Moores hill
15364,15364,47034,39.203982,-85.327471,IN,Ripley,Napoleon
15365,15365,47035,39.309224,-84.905542,IN,Franklin,New trenton
15366,15366,47036,39.3912,-85.245798,IN,Franklin,Oldenburg
15367,15367,47037,39.169482,-85.325656,IN,Ripley,Osgood
15368,15368,47038,38.850304,-84.84995,IN,Switzerland,Patriot
15369,15369,47040,38.922057,-84.941033,IN,Ohio,Rising sun
15370,15370,47041,39.234052,-85.083768,IN,Ripley,Sunman
