AQSID,SiteName,Latitude,Longitude,CountyName,parameter name
60710001,Barstow,34.894054,-117.024756,SAN BERNARDINO,"['PM10', 'OZONE']"
60710013,Lucerne Valley,34.4101,-116.906874,SAN BERNARDINO,['PM10']
60710026,Ontario Near Road,34.068114,-117.525796,SAN BERNARDINO,"['NO2', 'CO']"
60710027,60 Near Road,34.0309,-117.617403,SAN BERNARDINO,['NO2']
60711004,Upland,34.10366,-117.629096,SAN BERNARDINO,"['NO2', 'CO', 'PM2.5', 'PM10', 'OZONE']"
60714003,Redlands - Dearborn,34.059626,-117.147347,SAN BERNARDINO,['OZONE']
60718001,Big Bear,34.264706,-116.861653,SAN BERNARDINO,['PM2.5']
60730001,Chula Vista,32.631229,-117.059074,SAN DIEGO,['OZONE']
60731006,Alpine,32.842297,-116.768326,SAN DIEGO,"['PM10', 'OZONE', 'PM2.5']"
60731008,Camp Pendleton,33.217026,-117.396156,SAN DIEGO,"['PM10', 'OZONE', 'PM2.5']"
60731014,Otay Mesa - Donovan,32.579361,-116.929486,SAN DIEGO,"['PM10', 'OZONE', 'PM2.5']"
60750005,San Francisco,37.7658,-122.3978,SAN FRANCISCO,"['CO', 'NO2', 'OZONE', 'PM2.5']"
60772010,Manteca,37.8027,-121.2208,SAN JOAQUIN,"['PM10', 'PM2.5']"
60773005,TracyAP,37.6825,-121.4406,SAN JOAQUIN,"['PM10', 'NO2', 'OZONE', 'PM2.5']"
60792004,Mesa 2 /Nipomo,35.02079,-120.56389,SAN LUIS OBISPO,"['PM10', 'PM2.5', 'SO2']"
60792007,Nipomo Mesa CDF,35.04676,-120.58777,SAN LUIS OBISPO,"['PM10', 'PM2.5']"
60792020,SLO Roberto,35.259473,-120.644493,SAN LUIS OBISPO,"['PM10', 'PM2.5']"
60793001,Morro Bay,35.36639,-120.8426,SAN LUIS OBISPO,['OZONE']
60794002,Nipomo RP,35.0315,-120.50101,SAN LUIS OBISPO,"['PM10', 'NO2', 'OZONE']"
60798002,Atascadero2,35.494556,-120.666203,SAN LUIS OBISPO,"['PM10', 'NO2', 'OZONE', 'PM2.5']"
60798005,Redhills/Shandon,35.64366,-120.23134,SAN LUIS OBISPO,['OZONE']
60798006,Carrizo,35.35474,-120.04013,SAN LUIS OBISPO,['OZONE']
60799001,Oso Flaco,35.009375,-120.601687,SAN LUIS OBISPO,['PM10']
60811001,Redwood City,37.4828,-122.2022,SAN MATEO,"['CO', 'NO2', 'OZONE', 'PM2.5']"
60830011,Santa Barbara,34.42775,-119.69091,SANTA BARBARA,"['PM10', 'OZONE', 'PM2.5']"
60831009,Santa Maria,34.890667,-120.432844,SANTA BARBARA,"['PM10', 'OZONE', 'PM2.5']"
60831013,Lompoc HS&P,34.7256,-120.4278,SANTA BARBARA,['OZONE']
60831014,Paradise Road,34.5414,-119.7906,SANTA BARBARA,['OZONE']
60831021,Carpinteria,34.402802,-119.457497,SANTA BARBARA,['OZONE']
60831025,Las Flores Canyon,34.4897,-120.0458,SANTA BARBARA,"['PM10', 'OZONE']"
60832004,Lompoc H Street,34.637798,-120.456703,SANTA BARBARA,"['PM10', 'OZONE', 'PM2.5']"
60832011,Goleta,34.445301,-119.827797,SANTA BARBARA,"['PM10', 'OZONE', 'PM2.5']"
60833001,Santa Ynez,34.605819,-120.07506,SANTA BARBARA,"['OZONE', 'PM2.5']"
60850002,Gilory - 9th Street,36.999571,-121.574684,SANTA CLARA,"['OZONE', 'PM2.5']"
60850006,San Jose - Knox Ave,37.338202,-121.849892,SANTA CLARA,"['NO2', 'CO', 'PM2.5']"
60851001,Los Gatos,37.2267,-121.9786,SANTA CLARA,['OZONE']
60852006,San Martin,37.0792,-121.5994,SANTA CLARA,['OZONE']
60870007,Santa Cruz AMS,36.98332,-121.98822,SANTA CRUZ,"['OZONE', 'PM2.5']"
60890004,Redding,40.5497,-122.3792,SHASTA,"['OZONE', 'PM2.5']"
60890007,Anderson,40.4531,-122.2978,SHASTA,"['OZONE', 'PM2.5']"
60890009,Shasta Lake City,40.6894,-122.4024,SHASTA,['OZONE']
60893003,Lassen Volcanic NP,40.5403,-121.5764,SHASTA,['OZONE']
60932001,Yreka,41.72679,-122.63359,SISKIYOU,"['OZONE', 'PM2.5']"
60950004,Vallejo,38.102507,-122.237976,SOLANO,"['NO2', 'CO', 'PM2.5', 'SO2', 'OZONE']"
60950005,Fairfield,38.227066,-122.075624,SOLANO,['OZONE']
60953002,Vacaville,38.356556,-121.949853,SOLANO,"['OZONE', 'PM2.5']"
60956001,Rio Vista,38.18839,-121.70564,SOLANO,['PM2.5']
60970004,Sebastopol,38.403765,-122.818294,SONOMA,"['CO', 'NO2', 'OZONE', 'PM2.5']"
61010003,Yuba City,39.13868,-121.61884,SUTTER,"['PM10', 'NO2', 'OZONE', 'PM2.5']"
61050002,Weaverville,40.734722,-122.941109,TRINITY,['PM2.5']
61072010,Porterville-NFS,36.0319,-119.055,TULARE,"['OZONE', 'PM2.5']"
61079998,Springville,36.1358,-118.8108,TULARE,"['OZONE', 'PM2.5']"
61110008,SIMIUA,34.2914,-118.7975,VENTURA,
61110009,Piru - Pacific,34.40428,-118.80998,VENTURA,"['OZONE', 'PM2.5']"
61111004,Ojai - Ojai Ave.,34.44806,-119.2313,VENTURA,"['OZONE', 'PM2.5']"
61130004,Davis - UCD Campus,38.53455,-121.7734,YOLO,"['NO2', 'OZONE', 'PM2.5']"
61131003,Woodland,38.661239,-121.732683,YOLO,"['OZONE', 'PM2.5']"
80010010,Adams-Birch,39.8281,-104.93645,ADAMS,"['PM10', 'PM2.5']"
80050006,Aurora East,39.638542,-104.569061,ARAPAHOE,['OZONE']
80077004,7004,37.205862,-107.254118,ARCHULETA,"['NO2', 'OZONE', 'SO2']"
80130003,Longmont,40.164585,-105.100861,BOULDER,['PM2.5']
80130014,Boulder Reservoir,40.070007,-105.220232,BOULDER,['OZONE']
80310027,I25 Denver,39.732144,-105.015313,DENVER,"['NO2', 'CO', 'PM2.5']"
80310028,Globeville,39.785622,-104.988469,DENVER,"['NO2', 'PM2.5']"
80410016,Manitou Springs,38.853097,-104.901286,EL PASO,['OZONE']
80410017,Colorado College,38.848,-104.8286,EL PASO,['PM2.5']
80450007,Rifle Particulate,39.531799,-107.782303,GARFIELD,['PM2.5']
80450012,Rifle Ozone,39.541801,-107.784103,GARFIELD,['OZONE']
80470003,Black Hawk,39.792512,-105.491309,GILPIN,"['PM10', 'OZONE']"
80519991,Gothic,38.9564,-106.9858,GUNNISON,['OZONE']
80590014,Evergreen,39.620408,-105.33872,JEFFERSON,['OZONE']
80677001,Ute 1,37.13678,-107.62863,LA PLATA,"['NO2', 'CO', 'PM2.5', 'PM10', 'OZONE']"
80677003,Ute 3,37.10258,-107.870219,LA PLATA,"['PM10', 'NO2', 'OZONE', 'PM2.5']"
80690007,Rocky Mountain NP,40.2778,-105.5453,LARIMER,['OZONE']
80770020,Palisade Ozone,39.1306,-108.3139,MESA,['OZONE']
80830006,Cortez Ozone,37.34997,-108.58737,MONTEZUMA,['OZONE']
80830101,Mesa Verde NP,37.1983,-108.4903,MONTEZUMA,['OZONE']
80970007,Aspen Pumphouse,39.196271,-106.8364,PITKIN,['OZONE']
81030006,"Rangely, CO",40.086941,-108.761002,RIO BLANCO,"['NO2', 'OZONE', 'PM2.5']"
81230006,Greeley Hospital,40.4147,-104.7061,WELD,['PM2.5']
90010010,Bridgeport,41.171398,-73.195297,FAIRFIELD,"['PM10', 'PM2.5', 'SO2']"
90010017,Greenwich,41.0036,-73.5853,FAIRFIELD,['OZONE']
90011123,Danbury,41.4014,-73.4447,FAIRFIELD,"['PM10', 'OZONE', 'PM2.5']"
90013007,Stratford,41.1519,-73.1036,FAIRFIELD,['OZONE']
90019003,Westport,41.1189,-73.3369,FAIRFIELD,"['NO2', 'OZONE']"
90030025,Hartford,41.771444,-72.679923,HARTFORD,"['PM10', 'NO2', 'CO', 'PM2.5']"
90031003,East Hartford,41.7847,-72.6297,HARTFORD,"['PM10', 'NO2', 'OZONE', 'PM2.5']"
90050005,Cornwall,41.833099,-73.303299,LITCHFIELD,"['CO', 'PM2.5', 'PM10', 'SO2', 'OZONE']"
90079007,Middletown,41.55,-72.626,MIDDLESEX,['OZONE']
90090027,New Haven,41.301288,-72.902685,NEW HAVEN,"['NO2', 'CO', 'PM2.5', 'PM10', 'SO2', 'OZONE']"
90092123,Waterbury,41.5503,-73.0442,NEW HAVEN,"['PM10', 'PM2.5']"
90099002,Madison,41.256902,-72.55322,NEW HAVEN,['OZONE']
90110124,Groton,41.3536,-72.0789,NEW LONDON,"['PM10', 'OZONE', 'PM2.5']"
90131001,Stafford,41.9756,-72.3867,TOLLAND,['OZONE']
90159991,Abington,41.8402,-72.01,WINDHAM,['OZONE']
100010002,KILLENS,38.986672,-75.5568,KENT,"['OZONE', 'PM2.5']"
100010003,Dover,39.155,-75.518056,KENT,['PM2.5']
100031007,LUMS 2,39.5513,-75.732,NEW CASTLE,"['OZONE', 'PM2.5', 'SO2']"
100031008,Rte 9 Del. City,39.57768,-75.6036,NEW CASTLE,"['PM2.5', 'SO2']"
100031010,BCSP,39.817222,-75.563889,NEW CASTLE,['OZONE']
100031012,Newark,39.691962,-75.761299,NEW CASTLE,['PM2.5']
100031013,BELLFNT2,39.773889,-75.496389,NEW CASTLE,"['OZONE', 'SO2']"
100032004,MLK,39.739444,-75.558056,NEW CASTLE,"['OZONE', 'CO', 'PM2.5', 'SO2']"
100051002,SEAFORD,38.6539,-75.6106,SUSSEX,"['OZONE', 'PM2.5']"
100051003,LEWES,38.7791,-75.16323,SUSSEX,['OZONE']
110010041,RIVER_Terrace,38.895683,-76.958089,WASHINGTON,"['NO2', 'OZONE', 'PM2.5']"
110010043,McMillan Reservoir,38.921848,-77.013176,WASHINGTON,"['NO2', 'CO', 'PM2.5', 'PM10', 'OZONE']"
110010050,TakomaRec,38.970101,-77.016715,WASHINGTON,"['NO2', 'OZONE']"
110010051,DCNearRoad,38.894749,-76.953427,WASHINGTON,"['NO2', 'CO', 'PM2.5']"
120013012,Paynes Prairie Farm,29.56615,-82.266066,ALACHUA,"['OZONE', 'PM2.5']"
120050006,St. Andrews Park,30.128901,-85.738098,BAY,"['OZONE', 'PM2.5']"
120090007,Melbourne,28.0542,-80.6283,BREVARD,"['PM10', 'OZONE', 'PM2.5']"
120094001,Cocoa Beach,28.3108,-80.6156,BREVARD,['OZONE']
120110033,V_VIEW,26.0732,-80.3386,BROWARD,"['OZONE', 'PM2.5']"
120110034,NCORE,26.054047,-80.257608,BROWARD,"['CO', 'PM2.5', 'PM10', 'SO2', 'OZONE']"
120110035,Near Road,26.131256,-80.167847,BROWARD,"['PM10', 'NO2', 'CO', 'PM2.5']"
120112003,POMPANO_BEACH,26.2906,-80.0969,BROWARD,"['OZONE', 'PM2.5']"
120115005,Coconut Creek,26.29405,-80.17634,BROWARD,"['PM10', 'PM2.5']"
120118002,DANIA_BEACH,26.0864,-80.1114,BROWARD,"['NO2', 'OZONE']"
120230002,Lake City,30.1783,-82.6192,COLUMBIA,"['OZONE', 'PM2.5']"
120250019,Pennsuco,25.899167,-80.382778,DADE,"['NO2', 'SO2']"
120310032,Kooker Park,30.356111,-81.635556,DUVAL,"['PM10', 'NO2', 'PM2.5', 'SO2']"
